1993-147149-0000	HOW INFINITE THE WEALTH OF LOVE AND HOPE GARNERED IN THESE SAME TINY TREASURE HOUSES AND OH
3915-98647-0005	AS THE CHILDREN ARRIVE AT YEARS OF DISCRETION THESE TREASURES PASS OUT OF THE MOTHER'S FAITHFUL KEEPING INTO THE HANDS OF THEIR ACTUAL OWNERS AND THEY ARE USUALLY KEPT STORED AWAY IN SOME LITTLE USED DRAWER OR CABINET UNTIL DEATH REMOVES THE NECESSITY FOR ANY FURTHER SAFEGUARDS OVER LIFE
3915-98647-0006	EACH ANIMAL BRINGS ITS OWN KIND OF GOOD OR BAD LUCK INTO THE HOUR DAY OR YEAR OVER WHICH IT PRESIDES AND ONLY A SKILLFUL BALANCER OF PROS AND CONS CAN READ ARIGHT THE COMBINATIONS AND UNDERSTAND WHAT THE LUCK OF ANY PARTICULAR HOUR IN ANY PARTICULAR DAY OF ANY PARTICULAR YEAR WILL BE
3915-98647-0007	FOR THE GREATER EVENTS OF FAMILY LIFE THE HOME PROPHECIES ARE FELT TO BE TOO UNCERTAIN AND THE SERVICES OF THE FORTUNE TELLER MUST BE CALLED IN
3915-98647-0008	NO WELL MANAGED FAMILY WOULD THINK OF BUILDING A NEW HOUSE WITHOUT FINDING IN WHAT DIRECTION TO FACE THE FRONT DOOR
3915-98647-0009	AFTER THIS MATTER HAS BEEN SETTLED AND THE HOUSE IS FAIRLY BEGUN THERE ARE OCCASIONAL CRISES IN ITS CONSTRUCTION UPON WHICH MUCH DEPENDS
3915-98647-0010	OF THESE THE MOST IMPORTANT IS THE DAY WHEN THE ROOF IS RAISED
3915-98647-0011	THE HOUSE OWNER THEN DECIDES WHETHER THE DAY SET BY THE BUILDER IS A LUCKY ONE FOR HIMSELF AND HIS FAMILY
3915-98647-0012	A PRESENT OF MONEY TO EACH WORKMAN IS ALSO IN ORDER AND WILL CONDUCE TO THE RAPID AND FAITHFUL EXECUTION OF THE JOB IN HAND WHEN AT LAST THE HOUSE IS FINISHED AND CARPENTERS AND PLASTERERS ARE READY TO LEAVE IT THE LOCAL FIREMEN WHO HAVE ASSISTED ALL ALONG IN THE BUILDING AS UNSKILLED LABORERS OFTEN ASCEND TO THE ROOF AND FROM THE RIDGE POLE CAST DOWN CAKES FOR WHICH THE CHILDREN OF THE NEIGHBORHOOD SCRAMBLE JOYFULLY
3915-98647-0013	ALL COME WHO CAN AND THOSE WHO CANNOT COME SEND SERVANTS OR PROVISIONS
3915-98647-0014	ON THE DAY AFTER THE DEATH OFTEN IN THE EVENING THE BODY MUST BE PLACED IN THE CASK SHAPED COFFIN THAT UNTIL RECENTLY WAS THE STYLE COMMONLY IN USE IN JAPAN
3915-98647-0015	NOW AMONG THE WEALTHIER CLASSES THE LONG COFFIN HAS SUPERSEDED THE SMALL SQUARE OR ROUND ONE BUT THE SMALLER EXPENSE CONNECTED WITH BURIAL IN THE OLD WAY MAKES THE SURVIVAL OF THE OLD TYPE A NECESSITY FOR THE MAJORITY OF JAPANESE
3915-98647-0016	AT AN APPOINTED TIME ALL THE RELATIVES ASSEMBLE IN THE DEATH CHAMBER AND PREPARATIONS ARE MADE FOR THE BATHING OF THE CORPSE
3915-98647-0017	THERE IS NO OFFICIAL CEREMONIAL MOURNING OF PARENTS FOR THEIR CHILDREN NOR DOES CUSTOM REQUIRE THEM TO PERFORM ANY OF THE LAST RITES OR ATTEND THE FUNERAL
3915-98647-0018	UPON THE YOUNGER BROTHERS AND SISTERS FALLS THE DUTY OF ATTENDING TO ALL THE LAST SAD MINISTRATIONS
3915-98647-0019	WHEN THE BODY HAS BEEN WASHED IT IS DRESSED IN WHITE IN SILK HABUTAI WHENEVER THE FAMILY CAN AFFORD IT
3915-98647-0020	THE BODY TO BE PLACED IN THE COFFIN MUST BE FOLDED INTO A SITTING POSTURE THE CHIN RESTING UPON THE KNEES THE POSITION OF THE MUMMIES FOUND IN MANY ABORIGINAL AMERICAN TOMBS
3915-98647-0021	THIS DIFFICULT TO US APPARENTLY IMPOSSIBLE FEAT SAFELY ACCOMPLISHED THERE ARE PLACED IN THE COFFIN A NUMBER OF SMALL THINGS THAT THE DEAD TAKES WITH HIM TO THE NEXT WORLD
3915-98647-0022	THE SINGLE EXCEPTION TO THIS RULE ABOUT METAL IS THAT SMALL COPPER COINS MAY BE PUT IN TO FEE THE OLD HAG WHO GUARDS THE BANK OF THE RIVER OF DEATH
3915-98647-0023	LAST OF ALL THE VACANT SPACES IN THE COFFIN ARE FILLED IN WITH BAGS OF TEA
3915-98647-0024	SO LONG AS THE COFFIN IS IN THE HOUSE IT MUST BE WATCHED OVER CONTINUALLY
3915-98647-0025	IT IS THEIR DUTY TO SEE THAT THE INCENSE BURNING BEFORE THE COFFIN IS NEVER ALLOWED TO GO OUT WHILE THE FOOD FOR THE DEAD IS RENEWED AT REGULAR INTERVALS BY THE MOURNERS THEMSELVES
3915-98647-0026	THERE ARE FEW ENLIGHTENED JAPANESE WHO WILL DEFEND THE PRESENT SYSTEM OF CRUELTY TO THE AFFLICTED OR WHO DO NOT LONG FOR SOME CHANGE BUT SO GREAT IS THE FORCE OF CONSERVATISM IN THIS REGARD SO HAUNTING THE FEAR THAT ANY CHANGE MAY INDICATE A LACK OF RESPECT FOR THE DEAD THAT REFORM ADVANCES SLOWLY
3915-98647-0027	INDIVIDUAL INSTANCES OCCUR IN WHICH SOME OF THE WORST FEATURES OF THESE CUSTOMS ARE MODIFIED
3915-98647-0028	A CASE IN POINT IS THAT OF THE LATE MISTER FUKUZAWA A MAN WHOSE LIFE WAS DEVOTED TO THE ADVANCEMENT OF HIS COUNTRYMEN IN MODERN WAYS AND WHO IN HIS DEATH CONTINUED HIS TEACHING
3915-98647-0029	IN HIS WILL HE PROVIDED THAT HIS BODY WAS TO BE BURIED WITHOUT WASHING IN THE CLOTHING IN WHICH HE DIED
3915-98647-0030	THROUGH THIS GROWING FEELING AND THE UNSELFISHNESS OF MATERNAL AFFECTION MAY COME IN TIME THE RELEASE FROM THESE MOURNFUL CEREMONIES
3915-98647-0031	JUST BEFORE THE PROCESSION STARTS A RELIGIOUS CEREMONY IS HELD AT THE HOUSE WHICH IS ATTENDED BY THE FRIENDS OF THE DECEASED AND WHICH IS SUBSTANTIALLY THE SAME AS THAT PERFORMED AT THE CEMETERY
3915-98647-0032	ON THE DAY OF THE BURIAL GREAT BUNCHES OF NATURAL FLOWERS ARE SENT TO THE DEAD EACH BUNCH SO LARGE AS TO REQUIRE THE SERVICES OF ONE MAN TO CARRY IT
3915-98647-0033	SOMETIMES WITH THE GIFT A MAN IS SENT TO TAKE PART IN THE PROCESSION BUT IF THE GIVER FEELS TOO POOR TO HIRE A MAN THIS BURDEN TOO FALLS UPON THE BEREAVED HOUSEHOLD FOR ETIQUETTE REQUIRES THAT ALL FLOWERS SENT BE BORNE TO THE GRAVE BY UNIFORMED COOLIES WHO MARCH IN THE FUNERAL TRAIN
3915-98647-0034	ANOTHER FAVORITE PRESENT AT THIS TIME AMONG BUDDHISTS IS A CAGE OF LIVING BIRDS TO BE BORNE TO THE GRAVE AND RELEASED THEREON
3915-98647-0035	IT SEEMS MORE LIKE A BRIDAL THAN A BURIAL
3915-98647-0036	DURING THIS PERIOD THE SPIRIT OF THE DECEASED IS SUPPOSED TO BE STILL INHABITING THE HOUSE AND A TABLET OR SHRINE IS SET UP IN THE DEATH CHAMBER BEFORE WHICH FOOD AND FLOWERS ARE RENEWED DAILY
4153-185072-0000	HE TARRIED AT GENISHAU A FEW DAYS AND CAME UP TO GARDOW WHERE I THEN RESIDED HE WAS APPARENTLY WITHOUT ANY BUSINESS THAT WOULD SUPPORT HIM BUT HE SOON BECAME ACQUAINTED WITH MY SON THOMAS WITH WHOM HE HUNTED FOR A LONG TIME AND MADE HIS HOME WITH HIM AT MY HOUSE WINTER CAME ON AND HE CONTINUED HIS STAY
4153-185072-0001	THE ENRAGED HUSBAND WELL KNOWING THAT HE SHOULD FEEL A BLOW IF HE WAITED TO HEAR THE ORDER REPEATED INSTANTLY RETREATED AND WENT DOWN THE RIVER TO HIS CATTLE
4153-185072-0002	WE PROTECTED THE POOR NANTICOKE WOMAN AND GAVE HER VICTUALS AND ALLEN SYMPATHIZED WITH HER IN HER MISFORTUNES TILL SPRING WHEN HER HUSBAND CAME TO HER ACKNOWLEDGED HIS FORMER ERRORS AND THAT HE HAD ABUSED HER WITHOUT A CAUSE PROMISED A REFORMATION AND SHE RECEIVED HIM WITH EVERY MARK OF A RENEWAL OF HER AFFECTION
4153-185072-0003	THE INDIANS WERE SOON ANSWERED BY THE AMERICAN OFFICER THAT THE WAMPUM WAS CORDIALLY ACCEPTED AND THAT A CONTINUANCE OF PEACE WAS ARDENTLY WISHED FOR
4153-185072-0004	MY SON THOMAS WENT WITH THEM WITH ALLEN'S HORSE AND CARRIED THE GOODS
4153-185072-0005	ALLEN ON FINDING THAT HIS ENEMIES HAD GONE CAME BACK TO MY HOUSE WHERE HE LIVED AS BEFORE BUT OF HIS RETURN THEY WERE SOON NOTIFIED AT NIAGARA AND NETTLES WHO MARRIED PRISCILLA RAMSAY WITH A SMALL PARTY OF INDIANS CAME ON TO TAKE HIM
4153-185072-0006	NETTLES AT LENGTH ABANDONED THE CHASE WENT HOME AND ALLEN ALL IN TATTERS CAME IN
4153-185072-0007	BY RUNNING IN THE WOODS HIS CLOTHING HAD BECOME TORN INTO RAGS SO THAT HE WAS IN A SUFFERING CONDITION ALMOST NAKED
4153-185072-0008	ALLEN MADE HIS TROWSERS HIMSELF AND THEN BUILT A RAFT ON WHICH HE WENT DOWN THE RIVER TO HIS OWN PLACE AT MOUNT MORRIS
4153-185072-0009	THERE AN INDIAN GAVE HIM SOME REFRESHMENT AND A GOOD GUN WITH WHICH HE HASTENED ON TO LITTLE BEARD'S TOWN WHERE HE FOUND HIS SQUAW
4153-185072-0010	NOT DARING TO RISK HIMSELF AT THAT PLACE FOR FEAR OF BEING GIVEN UP HE MADE HER BUT A SHORT VISIT AND CAME IMMEDIATELY TO GARDOW
4153-185072-0011	THE LOVE OF LIBERTY HOWEVER ADDED TO HIS NATURAL SWIFTNESS GAVE HIM SUFFICIENT STRENGTH TO MAKE HIS ESCAPE TO HIS FORMER CASTLE OF SAFETY
4153-185072-0012	HIS PURSUERS CAME IMMEDIATELY TO MY HOUSE WHERE THEY EXPECTED TO HAVE FOUND HIM SECRETED AND UNDER MY PROTECTION
4153-185072-0013	STILL UNSATISFIED AND DOUBTING MY VERACITY THEY ADVISED MY INDIAN BROTHER TO USE HIS INFLUENCE TO DRAW FROM ME THE SECRET OF HIS CONCEALMENT WHICH THEY HAD AN IDEA THAT I CONSIDERED OF GREAT IMPORTANCE NOT ONLY TO HIM BUT TO MYSELF I PERSISTED IN MY IGNORANCE OF HIS SITUATION AND FINALLY THEY LEFT ME
4153-185072-0014	HE CAME TO MY HOUSE IN THE NIGHT AND AWOKE ME WITH THE GREATEST CAUTION FEARING THAT SOME OF HIS ENEMIES MIGHT BE WATCHING TO TAKE HIM AT A TIME WHEN AND IN A PLACE WHERE IT WOULD BE IMPOSSIBLE FOR HIM TO MAKE HIS ESCAPE
4153-185072-0015	AT THAT TIME ALLEN LAY IN A SECRET PLACE IN THE GULPH A SHORT DISTANCE ABOVE MY FLATS IN A HOLE THAT HE ACCIDENTALLY FOUND IN THE ROCK NEAR THE RIVER
4153-186222-0000	THERE'S LITTLE DANGER IN THIS QUARTER I'M SURE SO I MAY AS WELL BE FRIENDS WITH THE POOR CHILD
4153-186222-0001	AH WHY NOT
4153-186222-0002	BETH HESITATED
4153-186222-0003	THE LETTER ASKING ME TO VISIT HER WAS THE FIRST I HAVE EVER RECEIVED FROM HER
4153-186222-0004	BUT SINCE SHE ASKED ME TO VISIT HER WE JUDGED SHE HAD SOFTENED AND MIGHT WISH TO BECOME FRIENDLY AND SO I ACCEPTED THE INVITATION
4153-186222-0005	SURELY TWO GIRLS WILL HAVE A BETTER TIME IN THIS LONELY OLD PLACE THAN ONE COULD HAVE ALONE
4153-186222-0006	OH YES SHE HAS CORRECTED LOUISE
4153-186222-0007	YOU MEAN PATRICIA DOYLE YES
4153-186222-0008	THEN WE MAY CONCLUDE SHE'S LEFT OUT OF THE ARRANGEMENT SAID BETH CALMLY
4153-186222-0009	YOU'LL FIGHT FOR YOUR CHANCE AND FIGHT MIGHTY HARD
4153-186222-0010	WHY MY DEAR COUSIN I DON'T WANT AUNT JANE'S MONEY
4153-186222-0011	MY MOTHER AND I ARE AMPLY PROVIDED FOR AND I AM ONLY HERE TO FIND REST FROM MY SOCIAL DUTIES AND TO GET ACQUAINTED WITH MY DEAD FATHER'S SISTER THAT IS ALL
4153-186222-0012	MY FATHER TEACHES MUSIC AND MOTHER SCOLDS HIM CONTINUALLY FOR NOT BEING ABLE TO EARN ENOUGH MONEY TO KEEP OUT OF DEBT
4153-186222-0013	WE'VE NEVER SEEN A CENT OF HER MONEY ALTHOUGH FATHER HAS TRIED AT TIMES TO BORROW ENOUGH TO HELP HIM OUT OF HIS DIFFICULTIES
4153-186222-0014	I EVEN KISSED HER WHEN SHE ASKED ME TO AND IT SENT A SHIVER ALL DOWN MY BACK
4153-186222-0015	FOR MY PART I AM FOND OF EVERYONE AND IT DELIGHTS ME TO FUSS AROUND INVALIDS AND ASSIST THEM
4153-186222-0016	YOU SAY YOU LIKE TO CARE FOR INVALIDS AND I DON'T
4153-186222-0017	YOU'RE TRYING TO MAKE ME THINK YOU DON'T WANT ELMHURST WHEN YOU'RE AS ANXIOUS TO GET IT AS I AM
4153-186222-0018	THEY CALL ME BETH SULLENLY
4153-186222-0019	I COULDN'T LIVE IN THIS OUT OF THE WAY CORNER OF THE WORLD YOU KNOW
4153-186222-0020	BUT SUPPOSE SHE LEAVES IT TO YOU PERSISTED BETH
4153-186222-0021	LOUISE SEEMED TO MEDITATE
4153-186222-0022	IT'S A MAGNIFICENT ESTATE SAID BETH LOOKING AT HER COUSIN DOUBTFULLY
4153-186222-0023	NOW SHALL WE BE FRIENDS SHE ASKED LIGHTLY
4153-186222-0024	TO BE SURE I SHOULD WANT YOU TO MY DEAR
4153-186222-0025	SUCH A GIRL FRIEND IT HAD NEVER BEEN HER PRIVILEGE TO HAVE BEFORE AND WHEN HER SUSPICIONS WERE FORGOTTEN SHE BECAME FAIRLY RESPONSIVE AND BRIGHTENED WONDERFULLY
4153-186222-0026	SILAS SHE SAID WHEN HE ENTERED WHAT DO YOU THINK OF MY NIECES
4153-186222-0027	THEY ARE VERY CHARMING GIRLS HE ANSWERED ALTHOUGH THEY ARE AT AN AGE WHEN FEW GIRLS SHOW TO GOOD ADVANTAGE
4153-186222-0028	WHY DID YOU NOT INVITE KENNETH TO DINNER JANE THE BOY
4153-186222-0029	HE IS CONSTANTLY SAYING DISAGREEABLE THINGS
4153-186222-0030	VERY WELL SAID THE LAWYER QUIETLY WHICH OF MY NIECES DO YOU PREFER
4153-186222-0031	ASKED THE OLD LADY AFTER A PAUSE I CANNOT SAY ON SO SHORT AN ACQUAINTANCE HE ANSWERED WITH GRAVITY WHICH DO YOU PREFER JANE
4153-186222-0032	THEY ARE EQUALLY UNSATISFACTORY SHE ANSWERED
4153-186222-0033	I CANNOT IMAGINE ELMHURST BELONGING TO EITHER SILAS
4153-186222-0034	I MUST SEE THAT OTHER NIECE THE ONE WHO DEFIES ME AND REFUSES TO ANSWER MY SECOND LETTER
4153-186222-0035	THERE WOULD BE A DOZEN HEIRS TO FIGHT FOR MY MONEY AND DEAR OLD ELMHURST WOULD BE SOLD TO STRANGERS SHE RESUMED WITH BITTERNESS
4153-186223-0000	IN ONE CORNER OF THE LITTLE ROOM KENNETH FORBES SQUATTED UPON A BENCH WITH AN EMPTY PINE BOX HELD CARELESSLY IN HIS LAP
4153-186223-0001	WHILE DUNCAN WORKED THE BOY WAS BUSY WITH HIS PENCIL BUT NEITHER HAD SPOKEN FOR AT LEAST A HALF HOUR
4153-186223-0002	THEN RIDING SLOWLY UP THE HEDGE BORDERED ROAD HIS TROUBLES ONCE MORE ASSAILED HIM AND HE WONDERED IF THERE WAS NOT SOME SPOT UPON THE BROAD EARTH TO WHICH HE COULD FLY FOR RETIREMENT UNTIL THE GIRLS HAD LEFT ELMHURST FOR GOOD
4153-186223-0003	NORA SHIED AND HE LOOKED UP TO DISCOVER THAT HE HAD NEARLY RUN DOWN A PEDESTRIAN A STOUT LITTLE MAN WITH A BUNDLE UNDER HIS ARM WHO HELD UP ONE HAND AS IF TO ARREST HIM
4153-186223-0004	WHERE DO YOU WANT TO GO ASKED THE BOY
4153-186223-0005	THEN IT'S THE SAME JANE AS EVER HE RESPONDED WITH A SHAKE OF HIS GRIZZLED HEAD
4153-186223-0006	DO YOU KNOW I SORT O HOPED SHE'D REFORMED AND I'D BE GLAD TO SEE HER AGAIN THEY TELL ME SHE'S GOT MONEY
4153-186223-0007	AUNT JANE'S RICH AUNT JANE
4153-186223-0008	ECHOED THE MAN QUICKLY WHAT'S YOUR NAME LAD
4153-186223-0009	DON'T LIKE GIRLS I TAKE IT
4153-186223-0010	ANOTHER LONG PAUSE THEN THE BOY SUDDENLY TURNED QUESTIONER
4153-186223-0011	YOU KNOW AUNT MISS MERRICK SIR
4153-186223-0012	I USED TO WHEN WE WERE BOTH YOUNGER
4153-186223-0013	KENNETH STOPPED SHORT AND THE MARE STOPPED AND THE LITTLE MAN WITH A WHIMSICAL SMILE AT THE BOY'S ASTONISHMENT ALSO STOPPED
4153-186223-0014	JOHN MERRICK THAT'S ME
4153-186223-0015	YOU WERE THE TINSMITH
4153-186223-0016	THEY KEPT TRACK OF HER BECAUSE SHE SUDDENLY BECAME RICH AND A GREAT LADY AND THAT WAS A SURPRISING THING TO HAPPEN TO A MERRICK
4153-186223-0017	THANK YOU LAD RETURNED THE MAN GRATEFULLY I THOUGHT A LITTLE EXERCISE WOULD DO ME GOOD BUT THIS THREE MILES HAS SEEMED LIKE THIRTY TO ME
4153-186223-0018	I WILL SAID THE MAN
4153-186223-0019	THE BOY TURNED AWAY BUT IN A MOMENT HALTED AGAIN
4153-186223-0020	HIS INTEREST IN MISS JANE'S BROTHER JOHN WAS EXTRAORDINARY
4153-61735-0000	THEY ARE BUT LUKEWARM LOVERS WHO CAN CONTENT THEMSELVES WITH A DIALOGUE CARRIED ON AT BOWSHOT DISTANCE
4153-61735-0001	IF THERE BE AN ELYSIUM ON EARTH IT IS THIS
4153-61735-0002	HIS OWN DAUGHTER HIS ONLY DAUGHTER OF THE BEST BLOOD OF SOUTHERN ARISTOCRACY BEAUTIFUL ACCOMPLISHED EVERYTHING TO SECURE HIM A SPLENDID ALLIANCE HOLDING NIGHTLY ASSIGNATION WITH A HORSE HUNTER
4153-61735-0003	HE COULD WELL CONCEDE SO MUCH TO HER CAPRICE SINCE HER STAYING AT HOME COULD BE NO DISADVANTAGE TO THE CAUSE THAT HAD PROMPTED HIM TO THE STERN COUNSEL
4153-61735-0004	IT IS ALREADY KNOWN THAT THIS ROAD PASSED THE HACIENDA OF CASA DEL CORVO AT SOME DISTANCE FROM THE HOUSE AND ON THE OPPOSITE SIDE OF THE RIVER
4572-112375-0000	HE HEARD THE PRINCE'S FURIOUS TREAD HE SAW HIS EYES GLOW FIERCELY RED
4572-112375-0001	SWIFT SPRANG THE MONARCH TO HIS FEET UPSTARTING FROM HIS GOLDEN SEAT
4572-112375-0002	UNGRATEFUL VANAR KING ART THOU AND FAITHLESS TO THY PLIGHTED VOW
4572-112375-0003	NOW IF THY PRIDE DISOWN WHAT HE HIGH THOUGHTED PRINCE HAS DONE FOR THEE STRUCK BY HIS ARROWS SHALT THOU FALL AND BALI MEET IN YAMA'S HALL
4572-112375-0004	STILL OPEN TO THE GLOOMY GOD LIES THE SAD PATH THY BROTHER TROD
4572-112375-0005	THEN TO THY PLIGHTED WORD BE TRUE NOR LET THY STEPS THAT PATH PURSUE
4572-112375-0006	HE CEASED AND TARA STARRY EYED THUS TO THE ANGRY PRINCE REPLIED NOT TO MY LORD SHOULDST THOU ADDRESS A SPEECH SO FRAUGHT WITH BITTERNESS NOT THUS REPROACHED MY LORD SHOULD BE AND LEAST OF ALL O PRINCE BY THEE
4572-112375-0007	FROM PATHS OF TRUTH HE NEVER STRAYS NOR WANDERS IN FORBIDDEN WAYS
4572-112375-0008	NE'ER WILL SUGRIVA'S HEART FORGET BY RAMA SAVED THE LASTING DEBT
4572-112375-0009	RESTORED TO FAME BY RAMA'S GRACE TO EMPIRE O'ER THE VANAR RACE FROM CEASELESS DREAD AND TOIL SET FREE RESTORED TO RUMA AND TO ME BY GRIEF AND CARE AND EXILE TRIED NEW TO THE BLISS SO LONG DENIED LIKE VISVAMITRA ONCE ALAS HE MARKS NOT HOW THE SEASONS PASS
4572-112375-0010	THE MATRONS OF THE VANAR RACE SEE MARKS OF FURY IN THY FACE THEY SEE THINE EYES LIKE BLOOD ARE RED AND WILL NOT YET BE COMFORTED
4572-112375-0011	SHE CEASED AND LAKSHMAN GAVE ASSENT WON BY HER GENTLE ARGUMENT
4572-112375-0012	SO TARA'S PLEADING JUST AND MILD HIS SOFTENING HEART HAD RECONCILED
4572-112375-0013	THE HERO'S SIDE I WILL NOT LEAVE BUT HE THE CONQUEST SHALL ACHIEVE
4572-112375-0014	SO STRONG ART THOU SO BRAVE AND BOLD SO PURE IN THOUGHT SO HUMBLE SOULED THAT THOU DESERVEST WELL TO REIGN AND ALL A MONARCH'S BLISS TO GAIN
4572-112375-0015	LEND THOU MY BROTHER AID AND ALL HIS FOES BENEATH HIS ARM WILL FALL
4572-112381-0000	ON COMRADES TO THE CAVE I CRIED AND ALL WITHIN THE PORTAL HIED
4572-112381-0001	HERE THOU WITH HOSPITABLE CARE HAST FED US WITH THE NOBLEST FARE PRESERVING US ABOUT TO DIE WITH THIS THY PLENTIFUL SUPPLY
4572-112381-0002	BUT HOW O PIOUS LADY SAY MAY WE THY GRACIOUS BOON REPAY
4572-112381-0003	HE CEASED THE ASCETIC DAME REPLIED WELL VANARS AM I SATISFIED
4572-112381-0004	A LIFE OF HOLY WORKS I LEAD AND FROM YOUR HANDS NO SERVICE NEED
4572-112381-0005	THEN SPAKE AGAIN THE VANAR CHIEF WE CAME TO THEE AND FOUND RELIEF
4572-112381-0006	NOW LISTEN TO A NEW DISTRESS AND AID US HOLY VOTARESS
4572-112381-0007	OUR WANDERINGS IN THIS VASTY CAVE EXHAUST THE TIME SUGRIVA GAVE
4572-112381-0008	ONCE MORE THEN LADY GRANT RELEASE AND LET THY SUPPLIANTS GO IN PEACE AGAIN UPON THEIR ERRAND SPED FOR KING SUGRIVA'S IRE WE DREAD
4572-112381-0009	AND THE GREAT TASK OUR SOVEREIGN SET ALAS IS UNACCOMPLISHED YET
4572-112381-0010	AND HEARD HIS WATERS ROAR AND RAVE TERRIFIC WITH EACH CRESTED WAVE
4572-112381-0011	THE MONTH IS LOST IN TOIL AND PAIN AND NOW MY FRIENDS WHAT HOPES REMAIN
4572-112381-0012	YOUR HEARTS WITH STRONG AFFECTION FRAUGHT HIS WEAL IN EVERY LABOUR SOUGHT AND THE TRUE VALOUR OF YOUR BAND WAS BLAZONED WIDE IN EVERY LAND
4572-112381-0013	COME LET US ALL FROM FOOD ABSTAIN AND PERISH THUS SINCE HOPE IS VAIN
4572-112381-0014	FAR BETTER THUS TO END OUR LIVES AND LEAVE OUR WEALTH OUR HOMES AND WIVES LEAVE OUR DEAR LITTLE ONES AND ALL THAN BY HIS VENGEFUL HAND TO FALL
4572-112381-0015	OUR FORFEIT LIVES WILL SURELY PAY FOR IDLE SEARCH AND LONG DELAY AND OUR FIERCE KING WILL BID US DIE THE FAVOUR OF HIS FRIEND TO BUY
4572-112381-0016	THEN TARA SOFTLY SPAKE TO CHEER THE VANARS HEARTS OPPRESSED BY FEAR DESPAIR NO MORE YOUR DOUBTS DISPEL COME IN THIS AMPLE CAVERN DWELL
4572-112381-0017	THOU FONDLY HOPEST IN THIS CAVE THE VENGEANCE OF THE FOE TO BRAVE
4572-112381-0018	BUT LAKSHMAN'S ARM A SHOWER WILL SEND OF DEADLY SHAFTS THOSE WALLS TO REND
4572-112381-0019	THY LOVING KINSMAN TRUE AND WISE LOOKS ON THEE STILL WITH FAVOURING EYES
4572-112383-0000	HE CEASED
4572-112383-0001	WHERE WHERE IS SITA
4572-112383-0002	SCORCHED BY THE FIERY GOD OF DAY HIGH ON THIS MIGHTY HILL I LAY
4572-112383-0003	EACH MORN AND EVE HE BROUGHT ME FOOD AND FILIAL CARE MY LIFE RENEWED
4572-112383-0004	SWIFT TO THE SOUTH HIS COURSE HE BENT AND CLEFT THE YIELDING ELEMENT
4572-112383-0005	THE HOLY SPIRITS OF THE AIR CAME ROUND ME AS I MARVELLED THERE AND CRIED AS THEIR BRIGHT LEGIONS MET O SAY IS SITA LIVING YET
4572-112383-0006	THUS CRIED THE SAINTS AND TOLD THE NAME OF HIM WHO HELD THE STRUGGLING DAME
4572-112383-0007	THEN FROM THE FLOOD SAMPATI PAID DUE OFFERINGS TO HIS BROTHER'S SHADE
4572-112383-0008	SEVEN NIGHTS IN DEADLY SWOON I PASSED BUT STRUGGLING LIFE RETURNED AT LAST
4572-112383-0009	AROUND I BENT MY WONDERING VIEW BUT EVERY SPOT WAS STRANGE AND NEW
4572-64670-0000	BUT THIS THY HOST SO WIDE DISPREAD WAKES IN MY HEART ONE DOUBT AND DREAD LEST THREATENING RAMA GOOD AND GREAT ILL THOUGHTS THY JOURNEY STIMULATE
4572-64670-0001	HE IS MY ELDEST BROTHER HE IS LIKE A FATHER DEAR TO ME
4572-64670-0002	I GO TO LEAD MY BROTHER THENCE WHO MAKES THE WOOD HIS RESIDENCE
4572-64670-0003	NO THOUGHT BUT THIS THY HEART SHOULD FRAME THIS SIMPLE TRUTH MY LIPS PROCLAIM
4572-64670-0004	AS GUHA THUS AND BHARAT EACH TO OTHER SPOKE IN FRIENDLY SPEECH THE DAY GOD SANK WITH GLORY DEAD AND NIGHT O'ER ALL THE SKY WAS SPREAD
4572-64670-0005	SOON AS KING GUHA'S THOUGHTFUL CARE HAD QUARTERED ALL THE ARMY THERE WELL HONOURED BHARAT LAID HIS HEAD BESIDE SATRUGHNA ON A BED
4572-64670-0006	THUS SIGHING AND DISTRESSED IN MISERY AND BITTER GRIEF WITH FEVERED HEART THAT MOCKED RELIEF DISTRACTED IN HIS MIND THE CHIEF STILL MOURNED AND FOUND NO REST
4572-64670-0007	REST DUTEOUS MINDED I WILL KEEP MY WATCH WHILE RAMA LIES ASLEEP FOR IN THE WHOLE WIDE WORLD IS NONE DEARER TO ME THAN RAGHU'S SON
4572-64670-0008	HARBOUR NO DOUBT OR JEALOUS FEAR I SPEAK THE TRUTH WITH HEART SINCERE FOR FROM THE GRACE WHICH HE HAS SHOWN WILL GLORY ON MY NAME BE THROWN GREAT STORE OF MERIT SHALL I GAIN AND DUTEOUS FORM NO WISH IN VAIN
4572-64670-0009	LET ME ENFORCED BY MANY A ROW OF FOLLOWERS ARMED WITH SHAFT AND BOW FOR WELL LOVED RAMA'S WEAL PROVIDE WHO LIES ASLEEP BY SITA'S SIDE
4572-64670-0010	WITH WORDS LIKE THESE I SPOKE DESIGNED TO MOVE THE HIGH SOULED BHARAT'S MIND BUT HE UPON HIS DUTY BENT PLIED HIS PERSUASIVE ARGUMENT O HOW CAN SLUMBER CLOSE MINE EYES WHEN LOWLY COUCHED WITH SITA LIES THE ROYAL RAMA
4572-64670-0011	HE WHOM NO MIGHTY DEMON NO NOR HEAVENLY GOD CAN OVERTHROW SEE GUHA HOW HE LIES ALAS WITH SITA COUCHED ON GATHERED GRASS
